Nome,Tamanho,Melhor custo conhecido,Greed Cost,Greed Tour,Genetic Cost,Genetic Time,Genetic Tour,Genetic Iters
burma14,14,,4048.0,"[1, 8, 11, 9, 10, 2, 14, 3, 4, 12, 6, 7, 13, 5]",3323.0,2228.0784351825714,"[7, 13, 8, 11, 9, 10, 1, 2, 14, 3, 4, 5, 6, 12]",3000
ulysses16,16,6859.0,9988.0,"[1, 8, 16, 13, 14, 12, 7, 6, 15, 5, 10, 9, 4, 2, 3, 11]",6859.0,2475.0549929142,"[13, 12, 7, 6, 15, 5, 11, 9, 10, 16, 3, 2, 4, 8, 1, 14]",3000
gr17,17,,2187.0,"[1, 13, 4, 7, 8, 6, 17, 14, 15, 3, 11, 5, 10, 2, 9, 12, 16]",2085.0,2579.989215373993,"[9, 12, 16, 1, 4, 13, 7, 8, 6, 17, 14, 15, 3, 11, 10, 2, 5]",3000
gr21,21,,3333.0,"[1, 12, 4, 11, 20, 10, 18, 21, 15, 2, 14, 13, 17, 19, 7, 8, 6, 16, 5, 9, 3]",2707.0,3032.4973962306976,"[1, 7, 8, 6, 16, 5, 9, 3, 2, 21, 15, 14, 13, 18, 10, 17, 19, 20, 11, 4, 12]",3000
ulysses22,22,7013.0,10586.0,"[1, 8, 22, 17, 4, 18, 16, 13, 14, 12, 7, 6, 15, 5, 20, 21, 19, 10, 9, 3, 2, 11]",7087.0,3155.81191778183,"[11, 9, 10, 19, 20, 21, 1, 8, 18, 4, 22, 17, 2, 3, 16, 13, 14, 12, 7, 6, 15, 5]",3000
gr24,24,1276.0,1553.0,"[1, 16, 6, 7, 8, 21, 5, 24, 12, 4, 23, 9, 13, 14, 10, 17, 22, 18, 19, 2, 20, 15, 3, 11]",1323.0,3964.259208917618,"[8, 24, 6, 7, 3, 11, 16, 1, 12, 4, 23, 9, 13, 14, 10, 17, 18, 22, 19, 15, 2, 20, 5, 21]",3000
fri26,26,937.0,1112.0,"[1, 15, 14, 10, 11, 13, 12, 9, 7, 8, 16, 19, 20, 18, 17, 21, 22, 26, 23, 24, 25, 3, 2, 4, 5, 6]",955.0,4212.827960729599,"[13, 12, 11, 10, 14, 3, 2, 4, 6, 5, 7, 8, 9, 16, 19, 20, 18, 17, 21, 22, 26, 23, 24, 25, 1, 15]",3000
bayg29,29,1610.0,2005.0,"[1, 28, 6, 12, 9, 5, 21, 2, 20, 10, 4, 15, 19, 25, 7, 23, 27, 24, 8, 16, 13, 18, 14, 22, 17, 11, 29, 26, 3]",1610.0,5125.243845462799,"[27, 16, 13, 24, 1, 28, 6, 12, 9, 26, 3, 29, 5, 21, 2, 20, 10, 4, 15, 18, 14, 17, 22, 11, 19, 25, 7, 23, 8]",3000
bays29,29,2020.0,2258.0,"[1, 28, 6, 12, 9, 5, 26, 29, 3, 2, 21, 20, 10, 4, 15, 18, 14, 22, 17, 11, 19, 16, 27, 24, 8, 23, 25, 7, 13]",2036.0,5130.310981988907,"[25, 7, 23, 16, 13, 24, 27, 8, 1, 28, 6, 12, 9, 5, 26, 29, 3, 2, 21, 20, 10, 4, 15, 18, 17, 14, 22, 11, 19]",3000
dantzig42,42,,956.0,"[1, 41, 42, 2, 40, 39, 38, 37, 35, 34, 31, 30, 32, 33, 29, 28, 27, 26, 25, 24, 10, 9, 8, 7, 6, 5, 4, 3, 36, 21, 22, 23, 17, 16, 18, 19, 20, 13, 14, 15, 12, 11]",734.0,7201.425696372986,"[17, 13, 12, 11, 24, 27, 26, 25, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 21, 22, 23, 16, 14, 15, 18, 19, 20]",2983
swiss42,42,,1630.0,"[1, 2, 7, 5, 4, 3, 28, 29, 30, 31, 33, 35, 21, 34, 32, 18, 38, 16, 15, 17, 20, 14, 6, 27, 19, 13, 12, 26, 11, 9, 10, 24, 42, 22, 40, 23, 39, 25, 41, 8, 37, 36]",1273.0,7201.2186505794525,"[7, 2, 1, 33, 35, 34, 21, 36, 37, 32, 18, 8, 38, 16, 17, 15, 20, 14, 6, 27, 19, 13, 12, 26, 11, 9, 10, 42, 24, 41, 25, 22, 40, 23, 39, 31, 30, 29, 3, 28, 4, 5]",2974
att48,48,10628.0,12861.0,"[1, 9, 38, 31, 44, 18, 7, 28, 36, 30, 6, 37, 19, 27, 43, 17, 33, 46, 15, 12, 11, 23, 14, 25, 13, 21, 47, 20, 40, 3, 22, 16, 41, 34, 29, 5, 48, 39, 32, 24, 10, 42, 26, 4, 35, 45, 2, 8]",10921.0,7202.430921554565,"[14, 25, 39, 32, 24, 10, 45, 35, 4, 26, 42, 2, 29, 5, 48, 13, 21, 47, 20, 15, 40, 9, 1, 8, 38, 31, 44, 18, 7, 28, 6, 37, 19, 27, 17, 43, 30, 36, 46, 33, 12, 11, 23, 3, 22, 16, 41, 34]",2604
gr48,48,5046.0,6098.0,"[1, 29, 7, 28, 46, 18, 34, 23, 25, 3, 19, 4, 30, 45, 2, 35, 20, 38, 43, 47, 37, 40, 39, 42, 24, 10, 12, 31, 33, 8, 22, 6, 36, 11, 16, 13, 48, 26, 15, 5, 21, 32, 27, 17, 9, 14, 44, 41]",5207.0,7202.734989404678,"[2, 45, 43, 47, 37, 24, 10, 12, 31, 8, 22, 6, 26, 15, 33, 5, 32, 27, 17, 21, 9, 14, 36, 11, 16, 48, 13, 1, 29, 7, 28, 44, 41, 46, 18, 34, 23, 25, 3, 19, 4, 30, 38, 20, 35, 42, 39, 40]",2586
hk48,48,,13181.0,"[1, 19, 37, 27, 44, 39, 45, 46, 4, 11, 16, 2, 15, 21, 43, 48, 24, 35, 17, 31, 20, 12, 22, 13, 28, 32, 25, 3, 5, 29, 26, 41, 18, 14, 38, 7, 47, 8, 6, 34, 36, 40, 10, 9, 23, 30, 33, 42]",11929.0,7202.746992111206,"[31, 12, 22, 13, 28, 32, 25, 3, 5, 29, 26, 41, 18, 14, 38, 7, 47, 8, 6, 34, 36, 40, 10, 9, 23, 30, 33, 21, 43, 19, 1, 37, 27, 44, 39, 45, 46, 4, 42, 11, 16, 2, 15, 48, 24, 35, 17, 20]",2606
eil51,51,426.0,511.0,"[1, 32, 11, 38, 5, 49, 9, 50, 16, 2, 29, 21, 34, 30, 10, 39, 33, 45, 15, 44, 37, 17, 4, 18, 47, 12, 46, 51, 27, 6, 48, 8, 26, 31, 28, 3, 20, 35, 36, 22, 7, 23, 24, 14, 25, 13, 41, 19, 42, 40, 43]",437.0,7202.951038599014,"[29, 21, 34, 30, 10, 39, 33, 45, 15, 44, 37, 17, 4, 18, 14, 25, 13, 41, 19, 40, 42, 47, 12, 46, 51, 27, 6, 48, 23, 24, 43, 7, 26, 8, 31, 28, 3, 36, 35, 20, 2, 22, 1, 32, 11, 38, 5, 49, 9, 50, 16]",2452
berlin52,52,7542.0,8980.0,"[1, 22, 49, 32, 36, 35, 34, 39, 40, 38, 37, 48, 24, 5, 15, 6, 4, 25, 46, 44, 16, 50, 20, 23, 31, 18, 3, 19, 45, 41, 8, 10, 9, 43, 33, 51, 12, 28, 27, 26, 47, 13, 14, 52, 11, 29, 30, 21, 17, 42, 7, 2]",8275.0,7203.1890914440155,"[26, 47, 29, 30, 42, 2, 7, 17, 21, 22, 1, 32, 49, 36, 35, 34, 39, 40, 37, 38, 48, 24, 5, 15, 6, 4, 25, 46, 44, 16, 50, 20, 23, 31, 18, 3, 45, 19, 41, 8, 9, 10, 43, 33, 51, 12, 28, 27, 13, 14, 52, 11]",2405
brazil58,58,25395.0,30774.0,"[1, 30, 13, 40, 25, 9, 32, 20, 53, 50, 4, 18, 44, 24, 58, 5, 27, 43, 12, 57, 23, 54, 55, 2, 41, 35, 10, 52, 51, 47, 49, 3, 48, 39, 29, 36, 17, 26, 6, 19, 28, 14, 37, 34, 46, 56, 45, 33, 15, 21, 11, 16, 22, 8, 38, 42, 31, 7]",26803.0,7202.473933458328,"[38, 42, 16, 22, 8, 55, 54, 2, 48, 41, 35, 10, 52, 51, 47, 49, 43, 27, 12, 57, 23, 1, 30, 13, 40, 25, 9, 32, 20, 53, 50, 4, 18, 44, 24, 58, 5, 3, 21, 36, 17, 26, 19, 6, 28, 14, 37, 15, 34, 46, 56, 45, 33, 29, 39, 11, 7, 31]",2168
